Color.Name,Hex.Code,Dec.Code,X.Code,HSL.Code,CMYK.Code
gainsboro (SVG),#DCDCDC,"rgb(220, 220, 220)","rgb(86%, 86%, 86%)","hsl(0, 0%, 86%)","cmyk(0%, 0%, 0%, 14%)"
gray86,#DBDBDB,"rgb(219, 219, 219)","rgb(86%, 86%, 86%)","hsl(0, 0%, 86%)","cmyk(0%, 0%, 0%, 14%)"
gray87,#DEDEDE,"rgb(222, 222, 222)","rgb(87%, 87%, 87%)","hsl(0, 0%, 87%)","cmyk(0%, 0%, 0%, 13%)"
gray88,#E0E0E0,"rgb(224, 224, 224)","rgb(88%, 88%, 88%)","hsl(0, 0%, 88%)","cmyk(0%, 0%, 0%, 12%)"
gray89,#E3E3E3,"rgb(227, 227, 227)","rgb(89%, 89%, 89%)","hsl(0, 0%, 89%)","cmyk(0%, 0%, 0%, 11%)"
gray90,#E5E5E5,"rgb(229, 229, 229)","rgb(90%, 90%, 90%)","hsl(0, 0%, 90%)","cmyk(0%, 0%, 0%, 10%)"
gray91,#E8E8E8,"rgb(232, 232, 232)","rgb(91%, 91%, 91%)","hsl(0, 0%, 91%)","cmyk(0%, 0%, 0%, 9%)"
gray92,#EBEBEB,"rgb(235, 235, 235)","rgb(92%, 92%, 92%)","hsl(0, 0%, 92%)","cmyk(0%, 0%, 0%, 8%)"
gray93,#EDEDED,"rgb(237, 237, 237)","rgb(93%, 93%, 93%)","hsl(0, 0%, 93%)","cmyk(0%, 0%, 0%, 7%)"
gray94,#F0F0F0,"rgb(240, 240, 240)","rgb(94%, 94%, 94%)","hsl(0, 0%, 94%)","cmyk(0%, 0%, 0%, 6%)"
gray95,#F2F2F2,"rgb(242, 242, 242)","rgb(95%, 95%, 95%)","hsl(0, 0%, 95%)","cmyk(0%, 0%, 0%, 5%)"
whitesmoke (SVG),#F5F5F5,"rgb(245, 245, 245)","rgb(96%, 96%, 96%)","hsl(0, 0%, 96%)","cmyk(0%, 0%, 0%, 4%)"
gray97,#F7F7F7,"rgb(247, 247, 247)","rgb(97%, 97%, 97%)","hsl(0, 0%, 97%)","cmyk(0%, 0%, 0%, 3%)"
gray98,#FAFAFA,"rgb(250, 250, 250)","rgb(98%, 98%, 98%)","hsl(0, 0%, 98%)","cmyk(0%, 0%, 0%, 2%)"
gray99,#FCFCFC,"rgb(252, 252, 252)","rgb(99%, 99%, 99%)","hsl(0, 0%, 99%)","cmyk(0%, 0%, 0%, 1%)"
white (Safe 16 SVG Hex3),#FFFFFF,"rgb(255, 255, 255)","rgb(100%, 100%, 100%)","hsl(0, 0%, 100%)","cmyk(0%, 0%, 0%, 0%)"
snow4,#8B8989,"rgb(139, 137, 137)","rgb(55%, 54%, 54%)","hsl(0, 1%, 54%)","cmyk(0%, 1%, 1%, 45%)"
snow3,#CDC9C9,"rgb(205, 201, 201)","rgb(80%, 79%, 79%)","hsl(0, 4%, 80%)","cmyk(0%, 2%, 2%, 20%)"
snow2,#EEE9E9,"rgb(238, 233, 233)","rgb(93%, 91%, 91%)","hsl(0, 13%, 92%)","cmyk(0%, 2%, 2%, 7%)"
rosybrown4,#8B6969,"rgb(139, 105, 105)","rgb(55%, 41%, 41%)","hsl(0, 14%, 48%)","cmyk(0%, 24%, 24%, 45%)"
dustyrose,#856363,"rgb(133, 99, 99)","rgb(52%, 39%, 39%)","hsl(0, 15%, 45%)","cmyk(0%, 26%, 26%, 48%)"
salmon5,#6F4242,"rgb(111, 66, 66)","rgb(44%, 26%, 26%)","hsl(0, 25%, 35%)","cmyk(0%, 41%, 41%, 56%)"
rosybrown (SVG),#BC8F8F,"rgb(188, 143, 143)","rgb(74%, 56%, 56%)","hsl(0, 25%, 65%)","cmyk(0%, 24%, 24%, 26%)"
rosybrown3,#CD9B9B,"rgb(205, 155, 155)","rgb(80%, 61%, 61%)","hsl(0, 33%, 71%)","cmyk(0%, 24%, 24%, 20%)"
indianred4,#8B3A3A,"rgb(139, 58, 58)","rgb(55%, 23%, 23%)","hsl(0, 41%, 39%)","cmyk(0%, 58%, 58%, 45%)"
sgisalmon,#C67171,"rgb(198, 113, 113)","rgb(78%, 44%, 44%)","hsl(0, 43%, 61%)","cmyk(0%, 43%, 43%, 22%)"
brown,#802A2A,"rgb(128, 42, 42)","rgb(50%, 16%, 16%)","hsl(0, 51%, 33%)","cmyk(0%, 67%, 67%, 50%)"
indianred (SVG),#CD5C5C,"rgb(205, 92, 92)","rgb(80%, 36%, 36%)","hsl(0, 53%, 58%)","cmyk(0%, 55%, 55%, 20%)"
indianred3,#CD5555,"rgb(205, 85, 85)","rgb(80%, 33%, 33%)","hsl(0, 55%, 57%)","cmyk(0%, 59%, 59%, 20%)"
brown (SVG),#A52A2A,"rgb(165, 42, 42)","rgb(65%, 16%, 16%)","hsl(0, 59%, 41%)","cmyk(0%, 75%, 75%, 35%)"
brown4,#8B2323,"rgb(139, 35, 35)","rgb(55%, 14%, 14%)","hsl(0, 60%, 34%)","cmyk(0%, 75%, 75%, 45%)"
firebrick5,#8E2323,"rgb(142, 35, 35)","rgb(56%, 14%, 14%)","hsl(0, 60%, 35%)","cmyk(0%, 75%, 75%, 44%)"
brown,#A62A2A,"rgb(166, 42, 42)","rgb(65%, 16%, 16%)","hsl(0, 60%, 41%)","cmyk(0%, 75%, 75%, 35%)"
brown3,#CD3333,"rgb(205, 51, 51)","rgb(80%, 20%, 20%)","hsl(0, 61%, 50%)","cmyk(0%, 75%, 75%, 20%)"
orange,#CC3232,"rgb(204, 50, 50)","rgb(80%, 20%, 20%)","hsl(0, 61%, 50%)","cmyk(0%, 75%, 75%, 20%)"
rosybrown2,#EEB4B4,"rgb(238, 180, 180)","rgb(93%, 71%, 71%)","hsl(0, 63%, 82%)","cmyk(0%, 24%, 24%, 7%)"
strawberry,#BE2625,"rgb(190, 38, 37)","rgb(75%, 15%, 15%)","hsl(0, 67%, 45%)","cmyk(0%, 80%, 81%, 25%)"
firebrick4,#8B1A1A,"rgb(139, 26, 26)","rgb(55%, 10%, 10%)","hsl(0, 68%, 32%)","cmyk(0%, 81%, 81%, 45%)"
firebrick (SVG),#B22222,"rgb(178, 34, 34)","rgb(70%, 13%, 13%)","hsl(0, 68%, 42%)","cmyk(0%, 81%, 81%, 30%)"
firebrick3,#CD2626,"rgb(205, 38, 38)","rgb(80%, 15%, 15%)","hsl(0, 69%, 48%)","cmyk(0%, 81%, 81%, 20%)"
brownmadder,#DB2929,"rgb(219, 41, 41)","rgb(86%, 16%, 16%)","hsl(0, 71%, 51%)","cmyk(0%, 81%, 81%, 14%)"
scarlet,#8C1717,"rgb(140, 23, 23)","rgb(55%, 9%, 9%)","hsl(0, 72%, 32%)","cmyk(0%, 84%, 84%, 45%)"
lightcoral (SVG),#F08080,"rgb(240, 128, 128)","rgb(94%, 50%, 50%)","hsl(0, 79%, 72%)","cmyk(0%, 47%, 47%, 6%)"
indianred2,#EE6363,"rgb(238, 99, 99)","rgb(93%, 39%, 39%)","hsl(0, 80%, 66%)","cmyk(0%, 58%, 58%, 7%)"
brown2,#EE3B3B,"rgb(238, 59, 59)","rgb(93%, 23%, 23%)","hsl(0, 84%, 58%)","cmyk(0%, 75%, 75%, 7%)"
firebrick2,#EE2C2C,"rgb(238, 44, 44)","rgb(93%, 17%, 17%)","hsl(0, 85%, 55%)","cmyk(0%, 82%, 82%, 7%)"
darkcherryred (Safe Hex3),#330000,"rgb(51, 0, 0)","rgb(20%, 0%, 0%)","hsl(0, 100%, 10%)","cmyk(0%, 100%, 100%, 80%)"
bloodred (Safe Hex3),#660000,"rgb(102, 0, 0)","rgb(40%, 0%, 0%)","hsl(0, 100%, 20%)","cmyk(0%, 100%, 100%, 60%)"
maroon (16 SVG),#800000,"rgb(128, 0, 0)","rgb(50%, 0%, 0%)","hsl(0, 100%, 25%)","cmyk(0%, 100%, 100%, 50%)"
darkred (SVG),#8B0000,"rgb(139, 0, 0)","rgb(55%, 0%, 0%)","hsl(0, 100%, 27%)","cmyk(0%, 100%, 100%, 45%)"
red3,#CD0000,"rgb(205, 0, 0)","rgb(80%, 0%, 0%)","hsl(0, 100%, 40%)","cmyk(0%, 100%, 100%, 20%)"
red2 (Hex3),#EE0000,"rgb(238, 0, 0)","rgb(93%, 0%, 0%)","hsl(0, 100%, 47%)","cmyk(0%, 100%, 100%, 7%)"
red (Safe 16 SVG Hex3),#FF0000,"rgb(255, 0, 0)","rgb(100%, 0%, 0%)","hsl(0, 100%, 50%)","cmyk(0%, 100%, 100%, 0%)"
firebrick1,#FF3030,"rgb(255, 48, 48)","rgb(100%, 19%, 19%)","hsl(0, 100%, 59%)","cmyk(0%, 81%, 81%, 0%)"
novascotia salmon (Safe Hex3),#FF3333,"rgb(255, 51, 51)","rgb(100%, 20%, 20%)","hsl(0, 100%, 60%)","cmyk(0%, 80%, 80%, 0%)"
orangered4,#FF4040,"rgb(255, 64, 64)","rgb(100%, 25%, 25%)","hsl(0, 100%, 63%)","cmyk(0%, 75%, 75%, 0%)"
seattle salmon (Safe Hex3),#FF6666,"rgb(255, 102, 102)","rgb(100%, 40%, 40%)","hsl(0, 100%, 70%)","cmyk(0%, 60%, 60%, 0%)"
indianred1,#FF6A6A,"rgb(255, 106, 106)","rgb(100%, 42%, 42%)","hsl(0, 100%, 71%)","cmyk(0%, 58%, 58%, 0%)"
rosybrown1,#FFC1C1,"rgb(255, 193, 193)","rgb(100%, 76%, 76%)","hsl(0, 100%, 88%)","cmyk(0%, 24%, 24%, 0%)"
flatpink (Safe Hex3),#FFCCCC,"rgb(255, 204, 204)","rgb(100%, 80%, 80%)","hsl(0, 100%, 90%)","cmyk(0%, 20%, 20%, 0%)"
snow (SVG),#FFFAFA,"rgb(255, 250, 250)","rgb(100%, 98%, 98%)","hsl(0, 100%, 99%)","cmyk(0%, 2%, 2%, 0%)"
bing cherry,#A02422,"rgb(160, 36, 34)","rgb(63%, 14%, 13%)","hsl(1, 65%, 38%)","cmyk(0%, 77%, 79%, 37%)"
